ID,Country,Region,City,Latitude,Longitude
327,-,-,-,N/A,N/A
328,-,-,-,N/A,N/A
329,-,-,-,N/A,N/A
330,-,-,-,N/A,N/A
331,Canada,Saskatchewan,Saskatoon,52.131802,-106.660767
332,-,-,-,N/A,N/A
333,Cuba,Villa Clara,Santa Clara,22.406628,-79.9651013
334,France,Lorraine,Metz,49.1196964,6.1763552
335,France,Centre-Val de Loire,Tours,47.3900474,0.6889268
336,France,Auvergne,Clermont-Ferrand,45.7774551,3.0819427
337,France,Champagne-Ardenne,Reims,49.2577886,4.031926
338,France,Burgundy,Dijon,N/A,N/A
339,France,Centre-Val de Loire,Orléans,47.9027336,1.9086066
340,France,Picardy,Amiens,49.8941708,2.2956951
341,France,Midi-Pyrénées,Toulouse,43.656128249999995,1.4829981917300352
342,France,Limousin,Limoges,45.8354243,1.2644847
343,France,Brittany,Rennes,48.1113387,-1.6800198
344,-,-,-,N/A,N/A
345,France,Rhône-Alpes,Saint-Étienne,45.8303318,4.5995915
346,-,-,-,N/A,N/A
347,France,Pays de la Loire,Nantes,47.2186371,-1.5541362
348,France,Free County,Besançon,N/A,N/A
349,France,Pays de la Loire,Le Mans,48.0073849,0.1967849
350,France,Alsace,Strasbourg,48.584614,7.7507127
351,France,Alsace,Mulhouse,47.7467233,7.3389937
352,France,Pays de la Loire,Angers,47.4739884,-0.5515588
353,France,Nord-Pas-de-Calais,Lille,50.42701005,3.0604148818482857
354,France,Provence-Alpes-Côte d'Azur,Toulon,43.1257311,5.9304919
355,France,Languedoc-Roussillon,Nîmes,N/A,N/A
356,France,Upper Normandy,Rouen,N/A,N/A
357,France,Rhône-Alpes,Grenoble,45.1875602,5.7357819
358,France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,43.5298424,5.4474738
359,France,Nord-Pas-de-Calais,Roubaix,50.6915893,3.1741734
360,France,-,Poitiers,46.5802596,0.340196
361,France,Nord-Pas-de-Calais,Tourcoing,50.7235038,3.1605714
362,France,Nord-Pas-de-Calais,Dunkirk,51.0347708,2.3772525
363,France,Aquitaine,Pau,43.2957547,-0.3685668
364,France,Lorraine,Nancy,48.6937223,6.1834097
365,-,-,-,N/A,N/A
366,France,Provence-Alpes-Côte d'Azur,Sausset-les-Pins,43.332048,5.1094441
367,United Kingdom,England,Lancaster,54.0484068,-2.7990345
368,United Kingdom,Wales,Newport,51.5882332,-2.9974967
369,United Kingdom,England,Kingston upon Hull,53.76238625,-0.3301213755327681
370,United Kingdom,England,Bradford,53.7944229,-1.7519186
371,Latvia,Zemgale,Jelgava,N/A,N/A
372,Latvia,Vidzeme,Riga,N/A,N/A
373,Canada,Saskatchewan,Regina,50.4479733,-104.6158764
374,Morocco,-,Oujda وجدة‎,34.677874,-1.929306
375,-,-,-,N/A,N/A
376,-,-,-,N/A,N/A
377,Morocco,-,El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة,33.22932285,-8.499356736652636
378,Hungary,-,Eger,47.8989887,20.3743665
379,Hungary,-,Debrecen,47.531399,21.6259782
380,France,Provence-Alpes-Côte d'Azur,Marseille,43.2961743,5.3699525
381,Germany,Baden-Württemberg,Heilbronn,49.142291,9.218655
382,Sweden,Skåne län,Malmö,55.6052931,13.0001566
383,Latvia,Vidzeme,Valmiera,N/A,N/A
384,Austria,Burgenland,Eisenstadt,47.8454821,16.5249288
385,United States of America,California,San Francisco,37.7792588,-122.4193286
386,-,-,-,N/A,N/A
387,-,-,-,N/A,N/A
388,United Kingdom,England,Salford,53.4877463,-2.2891921
389,United Kingdom,England,Truro,50.2633173,-5.0518107
390,Canada,Alberta,Calgary,51.0456064,-114.057541
391,Canada,Alberta,Airdrie,51.28597,-114.01062
392,Russian Federation,Архангельская область,Severodvinsk,64.563385,39.823769
393,Russian Federation,Republic of Karelia,Petrozavodsk,61.7900426,34.390007
394,South Africa,Free State,Bloemfontein,-29.116395,26.215496
395,Russian Federation,Вологодская область,Vologda,59.2264585,39.87223908258888
396,Romania,Hunedoara,Deva,45.8817402,22.9008611
397,-,-,-,N/A,N/A
398,-,-,-,N/A,N/A
399,-,-,-,N/A,N/A
400,Russian Federation,Tver Oblast,Tver,56.858675,35.9208284
401,Spain,Basque Country,Bilbao,43.2630018,-2.9350039
402,Spain,Basque Country,Vitoria-Gasteiz,42.8465088,-2.6724025
403,Russian Federation,Novgorod Oblast,Veliky Novgorod,58.5209862,31.2757862
404,United States of America,Michigan,Ann Arbor,42.2813722,-83.7484616
405,United States of America,Michigan,Flint,43.0161693,-83.6900211
406,Russian Federation,Pskov Oblast,Pskov,57.8173923,28.3343465
407,-,-,-,N/A,N/A
408,Congo-Kinshasa,Kinshasa,Kinshasa,-4.3217055,15.3125974
409,Russian Federation,Kaliningrad,Kaliningrad,54.710128,20.5105838
410,-,-,-,N/A,N/A
411,-,-,-,N/A,N/A
412,Russian Federation,Pskov Oblast,Velikiye Luki,56.33207455,30.55079895865873
413,Russian Federation,Smolensk Oblast,Smolensk,54.77897005,32.04718121915615
414,Russian Federation,Bryansk Oblast,Bryansk,53.27896405,34.36589361201107
415,Egypt,Red Sea Governorate,Hurghada,27.222556,33.8307062
416,Russian Federation,Kursk Oblast,Kursk,51.72703565,36.192247956921115
417,United States of America,Texas,San Antonio,29.4246002,-98.4951405
418,Russian Federation,Oryol Oblast,Oryol,52.9687747,36.0694937
419,-,-,-,N/A,N/A
420,Australia,Tasmania,Devonport,-41.1797561,146.3613011
421,Ukraine,Poltava Oblast,Poltava,49.5897423,34.5507948
422,Ukraine,Zaporizhia Oblast,Zaporizhzhia,47.8507859,35.1182867
423,Latvia,Zemgale,Jēkabpils,N/A,N/A
424,Israel,South District,Eilat,29.5569348,34.9497949
425,Latvia,Courland,Liepāja,N/A,N/A
426,Poland,Greater Poland Voivodeship,Poznań,52.4006632,16.91973259178088
427,Philippines,Pampanga,Angeles,15.0517319,120.7003572
428,Belarus,Brest Region,Brest,52.093751,23.6851851
429,Philippines,Zambales,Olongapo,14.8314675,120.2835205
430,Lithuania,Kaunas County,Kaunas,54.8982139,23.9044817
431,Lithuania,Vilnius County,Vilnius,54.6870458,25.2829111
432,Lithuania,Klaipeda County,Klaipėda,55.7127529,21.1350469
433,Lithuania,Siauliai County,Šiauliai,55.9340823,23.3157775
434,Russian Federation,Autonomous Republic of Crimea,Yevpatoriya,N/A,N/A
435,Tanzania,Zanzibar Urban/West,Stone Town,-6.16265285,39.18965515249984
436,-,-,-,N/A,N/A
437,Switzerland,Basel-City,Basel,47.5581077,7.5878261
438,United States of America,Texas,Fort Worth,32.753177,-97.3327459
439,Germany,North Rhine-Westphalia,Essen,51.4582235,7.0158171
